Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин
MZ320261,"Трансмиссионное масло Mitsubishi CVT FLUID ECO J4, для вариаторов, (Таиланд), (1л)",Mitsubishi,Москва,В пути,—,1442.0,1419.0,1442.0,2250.0,808.0,2151.6,709.5999999999999,—,—,2699.41,1257.4099999999999,дешевле мин. на 710 руб. (49.2%),STparts 2 151.60,709.6,49.2
MZ320262,"Трансмиссионное масло Mitsubishi CVT FLUID ECO J4, для вариаторов, (Таиланд), (4л)",Mitsubishi,Москва,В пути,—,6034.0,6879.0,6034.0,7280.0,1246.0,6652.67,618.6700000000001,—,—,—,—,дешевле мин. на 619 руб. (10.3%),STparts 6 652.67,618.67,10.3
MZ320265,"Трансмиссионное масло Mitsubishi Multi Gear Oil Eco 75W-80 / GL-4, для МКПП, (Таиланд), (1л)",Mitsubishi,Москва,В наличии,12,1491.0,1700.0,1491.0,1863.0,372.0,2278.1,787.0999999999999,—,—,—,—,дешевле мин. на 372 руб. (24.9%),ATS 1 863,372.0,24.9
MZ320744,"Трансмиссионное масло Mitsubishi Super Hypoid Gear SAE 80 / GL-5, для МКПП, (Таиланд), (1л)",Mitsubishi,Москва,В пути,—,1192.0,1359.0,1192.0,1505.0,313.0,1930.27,738.27,—,—,—,—,дешевле мин. на 313 руб. (26.3%),ATS 1 505,313.0,26.3
MZ320864,"Моторное масло Mitsubishi SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Mitsubishi,Москва,В пути,—,2507.0,2776.0,2507.0,5280.0,2773.0,5298.7,2791.7,—,—,—,—,дешевле мин. на 2773 руб. (110.6%),ATS 5 280,2773.0,110.6
MZ321232,"Моторное масло Mitsubishi SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Mitsubishi,Москва,В наличии,2378,3051.0,3479.0,3051.0,3202.0,151.0,3276.9,225.9000000000001,—,—,3867.47,816.4699999999998,дешевле мин. на 151 руб. (4.9%),ATS 3 202,151.0,4.9
XO5W30Q1SP,"Моторное масло Ford Motorcraft SP 5W-30 / ILSAC GF-6, (США), (0,946л)",Ford,Москва,В пути,—,568.0,628.0,568.0,—,—,—,—,—,—,802.22,234.22000000000003,дешевле мин. на 234 руб. (41.2%),Froza 802.22,234.22,41.2
XT105Q3LV,"Трансмиссионное масло Ford Motorcraft ATF Mercon LV, для АКПП / ГУР (красный), (США), (4,73л)",Ford,Москва,В пути,—,3515.0,3891.0,3515.0,—,—,—,—,—,—,4858.95,1343.9499999999998,дешевле мин. на 1344 руб. (38.2%),Froza 4 858.95,1343.95,38.2
XT10QLVC,"Трансмиссионное масло Ford Motorcraft ATF Mercon LV, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,225,739.0,818.0,739.0,—,—,821.03,82.02999999999997,—,—,970.43,231.42999999999995,дешевле мин. на 82 руб. (11.1%),STparts 821.03,82.03,11.1
XT12QULV,"Трансмиссионное масло Ford Motorcraft ATF Mercon ULV, для АКПП (красный), (США), (0,946л.)",Ford,Москва,В пути,—,696.0,770.0,696.0,—,—,—,—,—,—,1124.86,428.8599999999999,дешевле мин. на 429 руб. (61.6%),Froza 1 124.86,428.86,61.6
XT55Q3M,"Трансмиссионное масло Ford Motorcraft ATF Mercon V, для АКПП / ГУР (красный), (США), (4,73л)",Ford,Москва,В пути,—,3780.0,4185.0,3780.0,—,—,3905.0,125.0,—,—,4154.71,374.71000000000004,дешевле мин. на 125 руб. (3.3%),STparts 3 905,125.0,3.3
XY80W90QL,"Трансмиссионное масло Ford Motorcraft Axle lubricant 80W-90, (Мост / МКПП), (США), (1л)",Ford,Москва,В пути,—,1077.0,1193.0,1077.0,—,—,1860.1,783.0999999999999,—,—,2105.32,1028.3200000000002,дешевле мин. на 783 руб. (72.7%),STparts 1 860.10,783.1,72.7
08234P99A4P61,"Моторное масло Honda SP 0W-20 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Honda,Москва,В пути,—,4261.0,4858.0,4261.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
08269P99Z0FC1,"Трансмиссионное масло Honda CVTF TYPE-2 / HCF-2, для вариаторов, (Индонезия), (0,8л)",Honda,Москва,В пути,—,972.0,952.0,972.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
08269P99Z3FC1,"Трансмиссионное масло Honda CVTF TYPE-2 / HCF-2, для вариаторов, (Индонезия), (3,5л)",Honda,Москва,В наличии,32,6533.0,7448.0,6533.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550027806,"Трансмиссионное масло Shell SPIRAX S4 CX 30, (Оман), (209л)",Shell,Москва,В наличии,4,60000.0,60000.0,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061543,"Моторное масло Shell Helix Ultra SP 0W-40 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,74,3256.0,3286.0,3256.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061553,"Моторное масло Shell Helix Ultra SP 5W-40 (A3/B4), BMW LL-01, MB 229.5/226.5, (Оман), (1л)",Mercedes-Benz,Москва,В пути,—,932.0,930.0,932.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061555,"Моторное масло Shell Helix Ultra SP 5W-40 (A3/B4), BMW LL-01, MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В пути,—,3040.0,3080.0,3040.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061560,"Моторное масло Shell Helix Ultra X SP 5W-30 (A3/B4), BMW LL-01, MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В пути,—,3100.0,3140.0,3100.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061569,"Моторное масло Shell Helix HX7 SP 10W-40 (A3/B4), MB 229.3, (Оман), (1л)",Mercedes-Benz,Москва,В наличии,7,541.0,567.0,541.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061571,"Моторное масло Shell Helix HX7 SP 10W-40 (A3/B4), MB 229.3, (Оман), (4л)",Mercedes-Benz,Москва,В пути,—,1833.0,1958.0,1833.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061575,"Моторное масло Shell Helix HX8 SP 5W-40 (A3/B4), MB 229.3, (Оман), (4л)",Mercedes-Benz,Москва,В пути,—,1870.0,1997.0,1870.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061578,"Моторное масло Shell Helix Ultra SP 0W-20 (C5), (Оман), (4л)",Shell,Москва,В пути,—,3149.0,3181.0,3149.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550067567,"Моторное масло Shell Helix HX8 X SP 5W-30 (A3/B4), MB 229.5, (Оман), (1л)",Mercedes-Benz,Москва,В пути,—,558.0,582.0,558.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550067568,"Моторное масло Shell Helix HX8 X SP 5W-30 (A3/B4), MB 229.5, (Оман), (4л)",Mercedes-Benz,Москва,В пути,—,1882.0,2128.0,1882.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550067569,"Моторное масло Shell Helix HX8 X SP 5W-30 (A3/B4), MB 229.5, (Оман), (5л)",Mercedes-Benz,Москва,В пути,—,2342.0,2500.0,2342.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550067783,"Моторное масло Shell Helix Ultra SP 5W-40 (A3/B4), BMW LL-01, MB 229.5/226.5, (Оман), (5л)",Mercedes-Benz,Москва,В пути,—,3780.0,3833.0,3780.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550075050,"Моторное масло Shell Helix Ultra X SP 5W-30 (A3/B4), BMW LL-01, MB 229.5/226.5, (Оман), (5л)",Mercedes-Benz,Москва,В пути,—,3995.0,4038.0,3995.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
90790BS214,"Моторное масло YAMALUBE 2Т для 2-такт. лодочных моторов 2 Stroke, (Сингапур), (1л)",YAMALUBE,Москва,В наличии,6,653.0,745.0,653.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
9NPNIDATF1FZ,"Трансмиссионное масло Mazda ATF FZ для АКПП, (Индонезия), (1л)",Mazda,Москва,В пути,—,1488.0,1648.0,1488.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
9NPNIDATF1MV,"Трансмиссионное масло Mazda ATF MV для АКПП, (Индонезия), (1л)",Mazda,Москва,В пути,—,1183.0,1310.0,1183.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
A000989330917ABDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, бензин/дизель, (Бельгия), (200л)",Mercedes-Benz,Москва,В пути,—,166110.0,166110.0,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
A000989860617AAEE,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5, бензин/дизель, (Бельгия), (200л)",Mercedes-Benz,Москва,В пути,—,152550.0,152550.0,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
GS55502M2GME,"Моторное масло Volkswagen (VAG) Special G 5W-40, VW 502 00 / 505 00, бенз/диз (Оман), (1л)",Volkswagen,Москва,В наличии,7,1390.0,1538.0,1390.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
KE91699935,"Трансмиссионное масло Nissan GEAR OIL TL/JR 75W-80, для МКПП, (Европа), (1л)",Nissan,Москва,В пути,—,1548.0,1714.0,1548.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
KLAPJ05301,"Моторное масло Nissan SP 5W-30 / ILSAC GF-6, для бенз. двигателей, (Дубай), (1л)",Nissan,Москва,В пути,—,804.0,813.0,804.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
KLAPJ0530208,"Моторное масло Nissan SP 5W-30 / ILSAC GF-6, для бенз. двигателей, (Дубай), (208л)",Nissan,Москва,В пути,—,101700.0,101700.0,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
LUB10W40AP12,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. моторов 4 Stroke, (США), (1л)",YAMALUBE,Москва,В пути,—,1609.0,1781.0,1609.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
XT5QMC,"Трансмиссионное масло Ford Motorcraft ATF Mercon V, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,802,737.0,841.0,737.0,—,—,737.0,0.0,—,—,842.91,105.90999999999997,на уровне мин. конкурента,STparts 737,0.0,0.0
